"timestamp","RelogoRun","remainingHumans","remainingZombies"
186.0,1,0,55
187.0,1,0,55
188.0,1,0,55
189.0,1,0,55
190.0,1,0,55
191.0,1,0,55
192.0,1,0,55
193.0,1,0,55
194.0,1,0,55
195.0,1,0,55
196.0,1,0,55
197.0,1,0,55
198.0,1,0,55
199.0,1,0,55
200.0,1,0,55
201.0,1,0,55
202.0,1,0,55
203.0,1,0,55
204.0,1,0,55
205.0,1,0,55
206.0,1,0,55
207.0,1,0,55
208.0,1,0,55
209.0,1,0,55
210.0,1,0,55
211.0,1,0,55
212.0,1,0,55
213.0,1,0,55
214.0,1,0,55
215.0,1,0,55
216.0,1,0,55
217.0,1,0,55
218.0,1,0,55
219.0,1,0,55
220.0,1,0,55
221.0,1,0,55
222.0,1,0,55
223.0,1,0,55
224.0,1,0,55
225.0,1,0,55
226.0,1,0,55
227.0,1,0,55
228.0,1,0,55
229.0,1,0,55
230.0,1,0,55
231.0,1,0,55
232.0,1,0,55
233.0,1,0,55
234.0,1,0,55
235.0,1,0,55
236.0,1,0,55
237.0,1,0,55
238.0,1,0,55
239.0,1,0,55
240.0,1,0,55
241.0,1,0,55
242.0,1,0,55
243.0,1,0,55
244.0,1,0,55
245.0,1,0,55
246.0,1,0,55
247.0,1,0,55
248.0,1,0,55
249.0,1,0,55
250.0,1,0,55
251.0,1,0,55
252.0,1,0,55
253.0,1,0,55
254.0,1,0,55
255.0,1,0,55
256.0,1,0,55
257.0,1,0,55
258.0,1,0,55
259.0,1,0,55
260.0,1,0,55
261.0,1,0,55
262.0,1,0,55
263.0,1,0,55
264.0,1,0,55
265.0,1,0,55
266.0,1,0,55
267.0,1,0,55
268.0,1,0,55
269.0,1,0,55
270.0,1,0,55
271.0,1,0,55
272.0,1,0,55
273.0,1,0,55
274.0,1,0,55
275.0,1,0,55
276.0,1,0,55
277.0,1,0,55
278.0,1,0,55
279.0,1,0,55
280.0,1,0,55
281.0,1,0,55
282.0,1,0,55
283.0,1,0,55
284.0,1,0,55
285.0,1,0,55
286.0,1,0,55
287.0,1,0,55
288.0,1,0,55
289.0,1,0,55
290.0,1,0,55
291.0,1,0,55
292.0,1,0,55
293.0,1,0,55
294.0,1,0,55
295.0,1,0,55
296.0,1,0,55
297.0,1,0,55
298.0,1,0,55
299.0,1,0,55
300.0,1,0,55
301.0,1,0,55
302.0,1,0,55
303.0,1,0,55
304.0,1,0,55
305.0,1,0,55
306.0,1,0,55
307.0,1,0,55
308.0,1,0,55
309.0,1,0,55
310.0,1,0,55
311.0,1,0,55
312.0,1,0,55
313.0,1,0,55
314.0,1,0,55
315.0,1,0,55
316.0,1,0,55
317.0,1,0,55
318.0,1,0,55
319.0,1,0,55
320.0,1,0,55
321.0,1,0,55
322.0,1,0,55
323.0,1,0,55
324.0,1,0,55
325.0,1,0,55
326.0,1,0,55
327.0,1,0,55
328.0,1,0,55
329.0,1,0,55
330.0,1,0,55
331.0,1,0,55
332.0,1,0,55
333.0,1,0,55
334.0,1,0,55
335.0,1,0,55
336.0,1,0,55
337.0,1,0,55
338.0,1,0,55
339.0,1,0,55
340.0,1,0,55
341.0,1,0,55
342.0,1,0,55
343.0,1,0,55
344.0,1,0,55
345.0,1,0,55
346.0,1,0,55
347.0,1,0,55
348.0,1,0,55
349.0,1,0,55
350.0,1,0,55
351.0,1,0,55
352.0,1,0,55
353.0,1,0,55
354.0,1,0,55
355.0,1,0,55
356.0,1,0,55
357.0,1,0,55
358.0,1,0,55
359.0,1,0,55
360.0,1,0,55
361.0,1,0,55
362.0,1,0,55
363.0,1,0,55
364.0,1,0,55
365.0,1,0,55
366.0,1,0,55
367.0,1,0,55
368.0,1,0,55
369.0,1,0,55
370.0,1,0,55
371.0,1,0,55
372.0,1,0,55
373.0,1,0,55
374.0,1,0,55
375.0,1,0,55
376.0,1,0,55
377.0,1,0,55
378.0,1,0,55
379.0,1,0,55
380.0,1,0,55
381.0,1,0,55
382.0,1,0,55
383.0,1,0,55
384.0,1,0,55
385.0,1,0,55
386.0,1,0,55
387.0,1,0,55
388.0,1,0,55
389.0,1,0,55
390.0,1,0,55
391.0,1,0,55
392.0,1,0,55
393.0,1,0,55
394.0,1,0,55
395.0,1,0,55
396.0,1,0,55
397.0,1,0,55
398.0,1,0,55
399.0,1,0,55
400.0,1,0,55
401.0,1,0,55
402.0,1,0,55
403.0,1,0,55
404.0,1,0,55
405.0,1,0,55
406.0,1,0,55
407.0,1,0,55
408.0,1,0,55
409.0,1,0,55
410.0,1,0,55
411.0,1,0,55
412.0,1,0,55
413.0,1,0,55
414.0,1,0,55
415.0,1,0,55
416.0,1,0,55
417.0,1,0,55
418.0,1,0,55
419.0,1,0,55
420.0,1,0,55
421.0,1,0,55
422.0,1,0,55
423.0,1,0,55
424.0,1,0,55
425.0,1,0,55
426.0,1,0,55
427.0,1,0,55
428.0,1,0,55
429.0,1,0,55
430.0,1,0,55
431.0,1,0,55
432.0,1,0,55
433.0,1,0,55
434.0,1,0,55
435.0,1,0,55
436.0,1,0,55
437.0,1,0,55
438.0,1,0,55
439.0,1,0,55
440.0,1,0,55
441.0,1,0,55
442.0,1,0,55
